招录机关名称    职位名称    职位编码    缴费人数
四川省绵阳强制隔离戒毒所    金融财会    42000010    68
四川省绵阳强制隔离戒毒所    信息通信    42000011    15
四川省绵阳强制隔离戒毒所    心理矫正    42000012    17
四川省雅安强制隔离戒毒所    行政管理（一）    42000013    0
四川省雅安强制隔离戒毒所    行政管理（二）    42000014    37
四川省雅安强制隔离戒毒所    信息通信    42000015    24
四川省雅安强制隔离戒毒所    管理教育（一）    42000016    527
四川省雅安强制隔离戒毒所    管理教育（二）    42000017    53
四川省雅安强制隔离戒毒所    管理教育（三）    42000018    2
四川省雅安强制隔离戒毒所    金融财会    42000019    96
四川省雅安强制隔离戒毒所    医学（一）    42000020    0
四川省雅安强制隔离戒毒所    医学（二）    42000021    0
成都市公安局    特警职位    43001001    47
成都市公安局    执法勤务一职位（警务信通技术）    43001002    24
成都市公安局    执法勤务二职位（警务信通技术）    43001003    19
成都市公安局    执法勤务三职位（金融财会）    43001004    41
成都市公安局    执法勤务四职位    43001005    4
成都市公安局    执法勤务五职位    43001006    42
成都市公安局    执法勤务六职位    43001007    6
成都市公安局    执法勤务七职位    43001008    1
成都市公安局    执法勤务八职位（防核生化）    43001009    4
成都市公安局    综合管理职位    43001010    8
成都市公安局    警务技术一职位（法医）    43001011    17
成都市公安局    警务技术二职位    43001012    1
成都市公安局    警务技术三职位（网络安全技术）    43001013    17
攀枝花市公安局    执法勤务一    43003001    106
攀枝花市公安局    执法勤务二    43003002    40
攀枝花市公安局    执法勤务三    43003003    27
攀枝花市公安局    执法勤务四    43003004    12
攀枝花市公安局    执法勤务五    43003005    25
泸州市公安局    执法勤务（金融财会）    43004001    21
泸州市公安局    执法勤务（特警）    43004002    20
泸州市公安局江阳区分局    警务技术（网络安全管理一）    43004003    27
泸州市公安局江阳区分局    执法勤务（外语及少数民族语言翻译）    43004004    9
泸州市公安局纳溪区分局    综合管理（一）    43004005    4
泸州市公安局纳溪区分局    综合管理（二）    43004006    19
泸州市公安局纳溪区分局    警务技术（网络安全管理二）    43004007    1
古蔺县公安局    警务技术（网络安全管理三）    43004008    3
三台县公安局    执法勤务（一）    43006001    165
三台县公安局    执法勤务（二）    43006002    7
广元市公安局    警务技术    43007001    5
广元市公安局    执法勤务    43007002    0
资中县    财会    43009001    31
隆昌市    法医    43009002    6
隆昌市    警技    43009003    14
威远县    法医    43009004    3
威远县    财会    43009005    8
威远县    文秘    43009006    1
乐山市公安局    警务技术    43010001    102
乐山市公安局    执法勤务    43010002    11
乐山市公安局    执法勤务    43010003    11
乐山市公安局    执法勤务    43010004    12
南充市公安局    警务技术（外语）    43011001    5
南充市公安局    警务技术（网络安全管理）    43011002    25
南充市公安局    执法勤务    43011003    37
南部县    执法勤务    43011004    4
阆中市    警务技术（信息通信）    43011005    1
阆中市    执法勤务    43011006    2
仪陇县    警务技术（信息通信）    43011007    14
仪陇县    执法勤务    43011008    7
营山县    警务技术（金融财会）    43011009    22
营山县    警务技术（信息通信）    43011010    2
营山县    警务技术（网络安全管理）    43011011    1
营山县    执法勤务（一）    43011012    29
营山县    执法勤务（二）    43011013    1
达州市公安系统    综合管理（一）    43012001    2
达州市公安系统    综合管理（二）    43012002    127
达州市公安系统    警务技术    43012003    14
宜宾市公安机关（一）    警务技术（一）——法医    43015001    7
宜宾市公安机关（二）    警务技术（二）——网络安全管理    43015002    49
宜宾市公安机关（三）    综合管理（一）    43015003    155
宜宾市公安机关（四）    综合管理（二）——金融财会    43015004    44
宜宾市公安机关（五）    综合管理（三）——公安文秘（一）    43015005    20
宜宾市公安机关（六）    综合管理（四）——公安文秘（二）    43015006    10
宜宾市公安机关（七）    综合管理（五）——公安宣传    43015007    11
汶川县    执法勤务    43017001    42
松潘县    警务技术（法医）    43017002    6
金川县    执法勤务    43017003    37
小金县    执法勤务    43017004    12
壤塘县    执法勤务    43017005    217
红原县    执法勤务    43017006    76
若尔盖县    执法勤务    43017007    67
阿坝县    执法勤务    43017008    0
阿坝州公安局（一）    执法勤务    43017009    69
阿坝州公安局（二）    执法勤务    43017010    135
阿坝州公安局（三）    执法勤务    43017011    9
阿坝州公安局（四）    执法勤务    43017012    10
阿坝州公安局（五）    执法勤务    43017013    3
阿坝州公安局（六）    执法勤务    43017014    79
阿坝州公安局（七）    执法勤务    43017015    70
阿坝州公安局（八）    执法勤务    43017016    40
阿坝州公安局（九）    执法勤务    43017017    9
阿坝州公安局（十）    执法勤务    43017018    11
阿坝州公安局（十一）    执法勤务    43017019    68
阿坝州公安局（十二）    执法勤务    43017020    45
阿坝州公安局（十三）    执法勤务    43017021    39
阿坝州公安局（十四）    执法勤务    43017022    3
盐源县公安局    综合管理（金融财会）    43019001    11
